municipio;parroquia;nombre;tipo_centro;situacion;latitud;longitud
MP. BOLIVAR;PQ. EL CARMEN;INSTITUTO NACIONAL DE CAPACITACION Y EDUCACION SOCIALISTA;INSTITUTO EDUCATIVO;Cerrado;10.15642197;-64.68198903
MP. MC GREGOR;PQ. EL CHAPARRO;ESCUELA NACIONAL LA MANUELERA;EDUCACION BASICA;Cerrado;9.24720003;-65.06520102
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA MANZANARES;EDUCACION BASICA;Cerrado;9.25987797;-64.93646997
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA PRIMARIA BOLIVARIANA MADRE TERESA DE CALCUTA;EDUCACION BASICA;Cerrado;10.156887;-64.68449202
MP. SANTA ANA;PQ. SANTA ANA;ESCUELA BASICA PEDRO EMILIO COLL;EDUCACION BASICA;Cerrado;9.29600397;-64.66388202
MP. INDEPENDENCIA;PQ. MAMO;ESCUELA RURAL BOLIVARIANA DEL ACEITAL DE YABO;EDUCACION BASICA;Cerrado;8.69344398;-63.107991
MP. SANTA ANA;PQ. SANTA ANA;ESCUELA BASICA ESTADAL EDUARDO DELFIN  MENDEZ;EDUCACION BASICA;Cerrado;9.29973897;-64.65110004
MP. INDEPENDENCIA;CM. SOLEDAD;ESCUELA UNITARIA NACIONAL NUMERO 416 COLORADITO;EDUCACION BASICA;Cerrado;8.75098197;-63.49594401
MP. BOLIVAR;PQ. EL CARMEN;CENTRO DE EDUCACION INICIAL MANUELITA SAENZ;EDUCACION INICIAL;Cerrado;10.15907103;-64.69011999
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;GRUPO ESCOLAR CARLOS FRAGACHAN;GRUPO ESCOLAR;Cerrado;8.89649802;-64.17083403
MP. ANACO;PQ. SAN JOAQUIN;CENTRO DE EDUCACION INICIAL URIMARE;EDUCACION INICIAL;Cerrado;9.30748797;-64.48410504
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;LICEO PROFESOR JESUS LOPEZ CASTRO;LICEO;Cerrado;8.89830504;-64.17186003
